City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
166,mount pleasant,32.7941,-79.8626,300.92,85,100,2.06,US,1691551461
167,puerto santa,-8.9906,-78.6456,293.17,82,94,4.04,PE,1691551461
168,port isabel,26.0734,-97.2086,302.62,82,0,6.69,US,1691551461
169,afaahiti,-17.75,-149.2833,297.08,84,100,8.86,PF,1691551317
170,greymouth,-42.4667,171.2,283.51,59,40,1.63,NZ,1691551462
171,north bend,43.4065,-124.2243,293.84,88,40,4.63,US,1691550912
172,prince george,53.9166,-122.753,290.51,93,100,2.06,CA,1691551409
173,mount gambier,-37.8333,140.7667,289.22,49,1,6.26,AU,1691551184
174,fort bragg,35.139,-79.006,300.83,70,100,2.57,US,1691551222
175,el calafate,-50.3408,-72.2768,274.67,92,88,0.68,AR,1691551199
176,kayangel,8.0823,134.7173,300.91,75,100,6.52,PW,1691550905
177,bengkulu,-3.8004,102.2655,300.85,74,43,1.89,ID,1691551239
178,queenstown,-31.8976,26.8753,283.44,76,100,2.2,ZA,1691551086
179,tura,25.5198,90.2201,298.67,90,100,2.32,IN,1691551144
180,naze,28.3667,129.4833,298.66,84,100,11.23,JP,1691551398
181,tynda,55.1667,124.7167,297.37,47,99,1.64,RU,1691551465
182,christchurch,-43.5333,172.6333,285.32,45,40,4.63,NZ,1691551466
183,camaqua,-30.8511,-51.8122,287.73,75,100,5.75,BR,1691551208
184,nova xavantina,-14.6667,-52.35,297.85,34,0,0.46,BR,1691551467
185,banjarmasin,-3.3244,114.591,304.23,47,13,2.06,ID,1691551467
186,hassi messaoud,31.6804,6.0729,301.07,26,0,0.0,DZ,1691551467
187,arraial do cabo,-22.9661,-42.0278,293.97,85,100,8.22,BR,1691551149
188,fort mcmurray,56.7268,-111.381,289.92,63,0,4.63,CA,1691551205
189,smara,26.7384,-11.6719,294.53,79,4,6.68,EH,1691551468
190,tazovsky,67.4667,78.7,282.82,94,100,6.85,RU,1691551148
191,tougan,13.0667,-3.0667,296.68,83,90,2.12,BF,1691551469
192,northam,51.0333,-4.2167,288.29,96,100,2.38,GB,1691551469
193,uturoa,-16.7333,-151.4333,298.6,82,99,7.37,PF,1691551166
194,shanhaiguan,39.9988,119.7564,300.77,66,48,3.87,CN,1691551469
195,geraldton,-28.7667,114.6,290.38,67,40,3.6,AU,1691551180
196,bandar abbas,27.1865,56.2808,306.14,66,40,2.06,IR,1691551470
197,wailua homesteads,22.0669,-159.378,305.39,78,75,11.32,US,1691551162
198,broken hill,-31.95,141.4333,292.22,26,28,9.03,AU,1691551254
199,bahia de kino,28.8333,-111.9333,309.77,41,5,8.15,MX,1691551471
200,mount isa,-20.7333,139.5,299.02,29,6,4.63,AU,1691551220
201,punaauia,-17.6333,-149.6,297.95,78,75,7.15,PF,1691551472
202,joshimath,30.5667,79.5667,297.52,82,87,1.71,IN,1691551472
203,qurayyat,31.3318,37.3428,294.25,64,0,2.06,SA,1691551472
204,altamira,-3.2033,-52.2064,297.9,76,41,1.5,BR,1691551147
205,loukhi,66.0764,33.0381,288.95,86,1,1.67,RU,1691551473
206,kardla,58.9978,22.7492,287.14,77,0,3.6,EE,1691551473
207,lospalos,-8.5186,127.0025,299.13,56,97,4.67,TL,1691551474
208,port saint john's,-31.6229,29.5448,290.29,74,86,3.86,ZA,1691551367
209,vorgashor,67.5833,63.95,281.67,73,100,1.93,RU,1691551298
210,gien,47.6933,2.6309,286.09,72,92,2.81,FR,1691551475
211,luderitz,-26.6481,15.1594,288.94,59,0,5.82,NA,1691551196
212,saldanha,-33.0117,17.9442,282.18,81,0,4.42,ZA,1691551093
213,ascension,30.2169,-90.9001,304.41,83,0,0.0,US,1691551476
214,waddan,29.1614,16.139,294.33,80,0,2.78,LY,1691551476
215,las heras,-46.5419,-68.9359,281.29,55,100,9.84,AR,1691551476
216,inari,68.906,27.0288,291.26,90,0,1.05,FI,1691551477
217,minas de marcona,-15.2119,-75.1103,285.75,87,39,4.7,PE,1691551477
218,yashkul',46.1711,45.3435,303.83,33,0,2.78,RU,1691551477
219,kpandae,8.4689,-0.0113,296.11,94,100,3.73,GH,1691551478
220,mersing,2.4312,103.8405,305.1,74,40,3.6,MY,1691551478
221,green river,41.5286,-109.4662,290.36,44,47,2.68,US,1691551478
222,nemuro,43.3236,145.575,292.59,99,100,7.13,JP,1691551161
223,dunedin,-45.8742,170.5036,280.26,71,100,4.02,NZ,1691551307
224,kununurra,-15.7667,128.7333,302.14,28,5,3.6,AU,1691551163
225,san luis de la loma,17.2706,-100.8939,301.53,88,43,2.69,MX,1691551135
226,susuman,62.7833,148.1667,282.86,53,100,1.16,RU,1691551218
227,salmon arm,50.6998,-119.3024,299.5,71,98,0.74,CA,1691551480
228,utrik,11.2278,169.8474,301.62,77,96,5.04,MH,1691551212
229,valdivia,-39.8142,-73.2459,282.2,96,100,1.21,CL,1691551481
230,howrah,22.5892,88.3103,303.15,84,75,2.06,IN,1691551032
231,harstad,68.799,16.5293,294.6,82,80,8.49,NO,1691551459
232,brisas de zicatela,15.8369,-97.0419,303.44,66,40,1.54,MX,1691551481
233,strezhevoy,60.7333,77.5889,293.22,53,72,3.91,RU,1691551206
234,princeville,45.7668,-61.2985,292.54,91,100,5.14,CA,1691551482
235,conduaga,8.862,117.4893,303.07,69,18,3.47,PH,1691551397
